12;RT @kau_political: 5th person has died after building explosion and collapse in NYC fire department says. http://t.co/BR1GoKnPlj"\x0A#CNN
12;Two buildings collapse at least 2 dead after Manhattan explosion - CNN: CNNTwo buildings collapse at least 2... http://t.co/lnB7HkGBVP
12;Building Explosion and Collapse at Harlem Manhattan  http://t.co/6sdZc65Upw #followme #USA
12;Two buildings collapse at least 3 dead after Manhattan explosion http://t.co/ysxDPLvlFX
12;Bible found in ashes of deadly New York blast http://t.co/JA0QziZTR4
12;tragic RT @cnnbrk: 5th person has died after building explosion and collapse in NYC fire department says. http://t.co/qu7gkWgXJh
12;Manhattan blast: One minute Colin Patterson was watching TV. The next he saw pianos flying through the air i... http://t.co/1buW8AZZur
12;Stories of NYC blast victims emerge http://t.co/THtB90QKPV
12;Explosion and fire destroy building in Manhattan's East Village injuring 12 http://t.co/hUFV44YkAv
12;Building collapse kills at least 3 in NYC http://t.co/P9Qvy9TpdN
12;Death toll mounts in NYC explosion: One minute Colin Patterson was watching TV. The next he saw pianos flyin... http://t.co/LiHf2fI1un
12;PHOTOS: Building explosion in Upper Manhattan kills two - Macomb Daily Media Center: http://t.co/3BIUkWnsFS
12;UPDATE: NYPD confirms a 3rd person is dead after explosion and building collapses in upper Manhattan - @AaronKatersky
12;Toll at 8 in Harlem blast
12;New security camera video emerges of Manhattan building exploding: Security camera footage has surfaced of the... http://t.co/rVyBoWEseQ
12;East Harlem New York \x0Abuilding partially collapses \x0Agas line explosion\x0A#haikews\x0Ahttp://t.co/wLUctGneXB
12;R u ok@HandbagDesigner"@BBCBreaking: explosion causes building  collapse in Manhattan http://t.co/Xeu0aAAKiF http://t.co/y0pLdbUTYo"
12;New security camera video emerges of Manhattan building exploding http://t.co/yuOmpISddK
12;19 Injured in New York City as Apparent Gas Explosion Results in Multiple ... - TIME http://t.co/j2XG8hI2Db
12;A day before investigators expected to gain full access to the site of a deadly explosion that leveled two New... http://t.co/ozPomhf3HP
12;BREAKING NEWS: Building explosion in NYC results in 2 dead 28 injured several missing. Appears to be from gas leak http://t.co/V1P0npOI5n
12;Toll at 8 in Harlem blast
12;New post: "Loved ones reflect on those lost in NYC blast search continues" http://t.co/x7h7jdfAfs
12;New security camera video emerges of Manhattan building exploding http://t.co/0ZF5bar9Qn
12;Eighth body found in Harlem blast http://t.co/5OnkEIIpfd @cnni
12;Bible in the ashes of NY explosion http://t.co/h12snJJdFU
12;UPDATE: Fire officials say at least 12 people are injured in the 7-alarm fire in Manhattan. http://t.co/6lCUZfZzcq http://t.co/ju5Wwl7mnn
12;Building collapse kills at least 7 in #NYC http://t.co/wCSGCSSvVt
12;"inappropriate access" ... bodies found in rubble of Manhattan building blast\x0Ahttp://t.co/0GdlqtnsAQ
